=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.02.17 18:05:46 =~=~=~=~=~=~=~=~=~=~=~=
0,.00
13945, 1500, 1025.30
14003, 1500, 1025.20
14060, 1500, 1025.40
14117, 1500, 1025.50
14176, 1500, 1025.60
14233, 1500, 1025.40
14291, 1500, 1025.30
14348, 1500, 1025.30
14405, 1500, 1025.20
14463, 1500, 1025.20
14520, 1500, 1025.40
14577, 1500, 1025.10
14636, 1500, 1025.30
14693, 1500, 1025.20
14750, 1500, 1025.10
14808, 1500, 1025.40
14865, 1500, 1025.30
14922, 1500, 1025.10
14980, 1500, 1025.30
15038, 1500, 1025.20
15095, 1500, 1025.20
15153, 1500, 1025.10
15210, 1500, 1025.20
15267, 1500, 1025.10
15325, 1500, 1025.30
15382, 1500, 1025.20
15440, 1500, 1025.00
15498, 1500, 1025.10
15555, 1500, 1025.20
15613, 1500, 1025.10
15670, 1500, 1025.10
15727, 1500, 1025.10
15785, 1500, 1025.00
15843, 1500, 1025.00
15900, 1500, 1025.30
15958, 1500, 1025.10
16015, 1500, 1025.00
16072, 1500, 1024.90
16130, 1500, 1025.30
16187, 1500, 1024.90
16245, 1500, 1024.80
16303, 1500, 1024.90
16360, 1500, 1025.00
16417, 1500, 1024.90
16475, 1500, 1025.00
16532, 1500, 1025.00
16589, 1500, 1024.80
16648, 1500, 1025.10
16705, 1500, 1025.00
16762, 1500, 1025.00
16820, 1500, 1025.00
16877, 1500, 1025.20
16935, 1500, 1025.00
16992, 1500, 1025.00
17049, 1500, 1024.90
17108, 1500, 1024.90
17165, 1500, 1024.90
17222, 1500, 1024.90
17280, 1500, 1025.00
17337, 1500, 1024.90
17394, 1500, 1024.90
17452, 1500, 1025.00
17510, 1500, 1024.90
17567, 1500, 1025.10
17625, 1500, 1024.80
17682, 1500, 1025.00
17739, 1500, 1024.80
17797, 1500, 1025.00
17854, 1500, 1025.00
17912, 1500, 1024.90
17970, 1500, 1024.90
18027, 1500, 1024.90
18084, 1500, 1025.00
18142, 1500, 1024.90
18199, 1500, 1024.80
18256, 1500, 1024.80
18315, 1500, 1025.00
18372, 1500, 1024.80
18430, 1500, 1025.00
18487, 1500, 1025.00
18544, 1500, 1024.70
18602, 1500, 1024.70
18659, 1500, 1024.90
18717, 1500, 1024.70
18775, 1500, 1024.70
18832, 1500, 1024.70
18889, 1500, 1024.90
18947, 1500, 1024.80
19004, 1500, 1024.90
19061, 1500, 1024.70
19120, 1500, 1024.60
19177, 1500, 1024.60
19234, 1500, 1024.60
19292, 1500, 1024.70
19349, 1500, 1024.60
19406, 1500, 1024.60
19464, 1500, 1024.80
19522, 1500, 1024.90
19579, 1500, 1024.70
19637, 1500, 1024.80
19694, 1500, 1024.80
19752, 1500, 1024.60
19809, 1500, 1024.50
19866, 1500, 1024.70
19925, 1500, 1024.60
19982, 1500, 1024.60
20039, 1500, 1024.40
20097, 1500, 1024.70
20154, 1500, 1024.70
20211, 1500, 1024.70
20269, 1500, 1024.50
20327, 1500, 1024.70
20384, 1500, 1024.60
20442, 1500, 1024.60
20499, 1500, 1024.80
20556, 1500, 1024.70
20614, 1500, 1024.80
20671, 1500, 1024.50
20729, 1500, 1024.60
20787, 1500, 1024.70
20844, 1500, 1024.60
20901, 1500, 1024.80
20959, 1500, 1024.80
21016, 1500, 1024.70
21074, 1500, 1024.60
21132, 1500, 1024.80
21189, 1500, 1024.70
21247, 1500, 1024.70
21304, 1500, 1024.70
21361, 1500, 1024.70
21419, 1500, 1024.50
21476, 1500, 1024.70
21534, 1500, 1024.60
21592, 1500, 1024.70
21649, 1500, 1024.60
21706, 1500, 1024.50
21764, 1500, 1024.60
21821, 1500, 1024.50
21878, 1500, 1024.70
21936, 1500, 1024.50
21994, 1500, 1024.40
22051, 1500, 1024.80
22109, 1500, 1024.60
22166, 1500, 1024.50
22223, 1500, 1024.60
22281, 1500, 1024.60
22338, 1500, 1024.80
22397, 1500, 1024.80
22454, 1500, 1024.60
22511, 1500, 1024.60
22569, 1500, 1024.30
22626, 1500, 1024.60
22683, 1500, 1024.50
22741, 1500, 1024.70
22799, 1500, 1024.60
22856, 1500, 1024.50
22914, 1500, 1024.40
22971, 1500, 1024.70
23028, 1500, 1024.50
23086, 1500, 1024.50
23143, 1500, 1024.50
23201, 1500, 1024.50
23259, 1500, 1024.70
23316, 1500, 1024.50
23373, 1500, 1024.50
23431, 1500, 1024.50
23488, 1500, 1024.50
23545, 1500, 1024.60
23604, 1500, 1024.70
23661, 1500, 1024.40
23719, 1500, 1024.50
23776, 1500, 1024.40
23833, 1500, 1024.40
23891, 1500, 1024.60
23948, 1500, 1024.40
24006, 1500, 1024.40
24064, 1500, 1024.40
24121, 1500, 1024.50
24178, 1500, 1024.70
24236, 1500, 1024.50
24293, 1500, 1024.60
24350, 1500, 1024.10
24409, 1500, 1024.50
24466, 1500, 1024.50
24523, 1500, 1024.60
24581, 1500, 1024.60
24638, 1500, 1024.40
24695, 1500, 1024.60
24753, 1500, 1024.30
24810, 1500, 1024.50
24868, 1500, 1024.30
24926, 1500, 1024.40
24983, 1500, 1024.60
25040, 1500, 1024.50
25098, 1500, 1024.40
25155, 1500, 1024.40
25213, 1500, 1024.40
25271, 1500, 1024.50
25328, 1500, 1024.40
25386, 1500, 1024.30
25443, 1500, 1024.70
25500, 1500, 1024.50
25558, 1500, 1024.50
25615, 1500, 1024.50
25673, 1500, 1024.60
25731, 1500, 1024.40
25788, 1500, 1024.30
25845, 1500, 1024.40
25903, 1500, 1024.20
25960, 1500, 1024.50
26017, 1500, 1024.40
26076, 1500, 1024.50
26133, 1500, 1024.30
26190, 1500, 1024.30
26248, 1500, 1024.30
26305, 1500, 1024.40
26362, 1500, 1024.30
26420, 1500, 1024.30
26478, 1500, 1024.40
26536, 1500, 1024.30
26593, 1500, 1024.50
26650, 1500, 1024.50
26708, 1500, 1024.30
26765, 1500, 1024.50
26822, 1500, 1024.40
26881, 1500, 1024.50
26938, 1500, 1024.40
26995, 1500, 1024.20
27053, 1500, 1024.40
27110, 1500, 1024.50
27167, 1500, 1024.40
27225, 1500, 1024.30
27283, 1500, 1024.50
27340, 1500, 1024.40
27398, 1500, 1024.40
27455, 1500, 1024.20
27512, 1500, 1024.40
27570, 1500, 1024.50
27627, 1500, 1024.30
27684, 1500, 1024.50
27743, 1500, 1024.40
27800, 1500, 1024.10
27858, 1500, 1024.40
27915, 1500, 1024.60
27972, 1500, 1024.30
28030, 1500, 1024.40
28087, 1500, 1024.30
28145, 1500, 1024.40
28203, 1500, 1024.40
28260, 1500, 1024.40
28317, 1500, 1024.40
28375, 1500, 1024.50
28432, 1500, 1024.50
28489, 1500, 1024.20
28548, 1500, 1024.30
28605, 1500, 1024.40
28662, 1500, 1024.50
28720, 1500, 1024.60
28777, 1500, 1024.40
28834, 1500, 1024.20
28892, 1500, 1024.50
28950, 1500, 1024.50
29007, 1500, 1024.30
29065, 1500, 1024.40
29122, 1500, 1024.40
29179, 1500, 1024.40
29237, 1500, 1024.30
29294, 1500, 1024.30
29353, 1500, 1024.40
29410, 1500, 1024.20
29467, 1500, 1024.40
29525, 1500, 1024.40
29582, 1500, 1024.60
29639, 1500, 1024.40
29697, 1500, 1024.40
29755, 1500, 1024.30
29812, 1500, 1024.60
29870, 1500, 1024.40
29927, 1500, 1024.40
29984, 1500, 1024.20
30042, 1500, 1024.40
30099, 1500, 1024.30
30157, 1500, 1024.40
30215, 1500, 1024.20
30272, 1500, 1024.60
30329, 1500, 1024.30
30387, 1500, 1024.30
30444, 1500, 1024.40
30501, 1500, 1024.30
30560, 1500, 1024.20
30617, 1500, 1024.60
30675, 1500, 1024.40
30732, 1500, 1024.50
30789, 1500, 1024.50
30847, 1500, 1024.20
30904, 1500, 1024.60
30962, 1500, 1024.20
31020, 1500, 1024.30
31077, 1500, 1024.20
31134, 1500, 1024.30
31192, 1500, 1024.40
31249, 1500, 1024.50
31306, 1500, 1024.30
31365, 1500, 1024.20
31422, 1500, 1024.40
31479, 1500, 1024.30
31537, 1500, 1024.40
31594, 1500, 1024.40
31651, 1500, 1024.30
31709, 1500, 1024.30
31767, 1500, 1024.30
31824, 1500, 1024.20
31882, 1500, 1024.50
31939, 1500, 1024.30
31997, 1500, 1024.10
32054, 1500, 1024.40
32111, 1500, 1024.40
32170, 1500, 1024.10
32227, 1500, 1024.20
32284, 1500, 1024.20
32342, 1500, 1024.20
32399, 1500, 1024.20
32456, 1500, 1024.30
32514, 1500, 1024.20
32572, 1500, 1024.20
32629, 1500, 1024.50
32687, 1500, 1024.50
32744, 1500, 1024.40
-32735, 1500, 1024.20
0, 0, 1024.50
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.10
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.10
0, 0, 1024.50
0, 0, 1024.40
0, 0, 1024.60
0, 0, 1024.50
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.50
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.40
0, 0, 1024.50
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.10
0, 0, 1024.40
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.00
0, 0, 1024.30
0, 0, 1024.50
0, 0, 1024.40
0, 0, 1024.20
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.40
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.10
0, 0, 1024.30
0, 0, 1024.30
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.20
0, 0, 1024.10
0, 0, 1024.30
